- M = 1.05 Mo
- log q(H) = -6.0
- log q(He) = -3.0
- X(O) from Bauer (2023)
- X(Ne) = 0.030
- Partial distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   62001.17   8.677286   0.00777675  -0.095763
   0.000100   61752.84   8.680286   0.00774994  -0.105734
   0.000186   61163.08   8.682699   0.00772844  -0.124818
   0.000279   60248.89   8.684774   0.00771000  -0.153054
   0.000380   59127.67   8.686691   0.00769300  -0.187604
   0.000490   57892.99   8.688500   0.00767699  -0.226073
   0.000612   56604.31   8.690221   0.00766180  -0.266899
   0.000750   55303.84   8.691862   0.00764734  -0.308917
   0.000908   54007.99   8.693431   0.00763353  -0.351676
   0.001095   52726.42   8.694945   0.00762024  -0.394908
   0.001316   51491.74   8.696381   0.00760766  -0.437507
   0.001581   50313.50   8.697740   0.00759576  -0.479078
   0.001901   49202.27   8.699017   0.00758460  -0.519153
   0.002294   48166.21   8.700223   0.00757408  -0.557329
   0.002783   47200.89   8.701370   0.00756408  -0.593645
   0.003397   46301.39   8.702467   0.00755453  -0.628167
   0.004172   45464.81   8.703524   0.00754535  -0.660899
   0.005152   44674.39   8.704551   0.00753643  -0.692393
   0.006377   43918.99   8.705555   0.00752773  -0.723022
   0.007887   43181.48   8.706532   0.00751926  -0.753418
   0.009671   42464.49   8.707474   0.00751111  -0.783447
   0.011715   41762.41   8.708384   0.00750325  -0.813318
   0.014012   41071.54   8.709273   0.00749557  -0.843185
   0.016551   40388.97   8.710147   0.00748804  -0.873172
   0.019330   39711.56   8.711007   0.00748063  -0.903415
   0.022333   39041.23   8.711851   0.00747336  -0.933833
   0.025549   38377.91   8.712676   0.00746626  -0.964427
   0.028956   37724.11   8.713473   0.00745942  -0.995074
   0.032555   37078.50   8.714247   0.00745277  -1.025835
   0.036351   36440.64   8.715006   0.00744626  -1.056738
   0.040323   35813.14   8.715744   0.00743994  -1.087651
   0.044480   35194.87   8.716462   0.00743378  -1.118622
   0.048846   34582.55   8.717162   0.00742780  -1.149810
   0.053355   33984.83   8.717828   0.00742211  -1.180763
   0.058070   33394.17   8.718471   0.00741661  -1.211865
   0.062989   32811.76   8.719095   0.00741129  -1.243053
   0.068089   32241.00   8.719700   0.00740613  -1.274142
   0.073396   31679.76   8.720292   0.00740108  -1.305241
   0.078883   31131.47   8.720873   0.00739614  -1.336150
   0.084606   30590.57   8.721436   0.00739134  -1.367163
   0.090551   30058.90   8.721976   0.00738675  -1.398159
   0.096684   29539.80   8.722491   0.00738237  -1.428937
   0.103075   29028.16   8.722991   0.00737812  -1.459789
   0.109717   28525.71   8.723479   0.00737397  -1.490610
   0.116712   28026.82   8.723975   0.00736976  -1.521757
   0.123964   27539.45   8.724476   0.00736551  -1.552731
   0.131501   27062.34   8.724975   0.00736129  -1.583590
   0.139343   26594.76   8.725466   0.00735713  -1.614358
   0.147499   26136.47   8.725940   0.00735311  -1.645029
   0.155966   25687.75   8.726391   0.00734929  -1.675564
   0.164721   25249.79   8.726819   0.00734567  -1.705865
   0.173769   24822.62   8.727237   0.00734214  -1.735923
   0.183196   24402.19   8.727649   0.00733866  -1.766010
   0.193054   23986.78   8.728055   0.00733523  -1.796244
   0.203312   23578.46   8.728453   0.00733187  -1.826468
   0.213916   23179.71   8.728841   0.00732860  -1.856485
   0.225007   22785.73   8.729219   0.00732540  -1.886644
   0.236528   22399.31   8.729588   0.00732229  -1.916726
   0.248513   22019.84   8.729950   0.00731924  -1.946770
   0.260817   21651.84   8.730301   0.00731629  -1.976398
   0.273672   21288.80   8.730647   0.00731337  -2.006119
   0.287044   20932.13   8.730988   0.00731050  -2.035810
   0.300924   20582.30   8.731315   0.00730775  -2.065416
   0.315239   20240.91   8.731618   0.00730520  -2.094774
   0.330185   19903.92   8.731904   0.00730280  -2.124226
   0.345865   19570.04   8.732182   0.00730046  -2.153891
   0.361903   19247.51   8.732450   0.00729821  -2.183028
   0.378736   18928.09   8.732724   0.00729591  -2.212374
   0.396527   18609.98   8.733013   0.00729348  -2.242106
   0.414746   18302.82   8.733312   0.00729097  -2.271316
   0.434032   17996.21   8.733622   0.00728837  -2.300974
   0.454023   17696.14   8.733931   0.00728578  -2.330493
   0.474375   17407.17   8.734226   0.00728330  -2.359389
   0.495823   17118.95   8.734509   0.00728093  -2.388677
   0.517734   16839.82   8.734765   0.00727878  -2.417491
   0.540586   16563.85   8.734998   0.00727683  -2.446429
   0.564173   16293.93   8.735211   0.00727504  -2.475185
   0.589210   16022.90   8.735418   0.00727331  -2.504530
   0.614485   15763.90   8.735614   0.00727167  -2.533036
   0.641317   15504.00   8.735816   0.00726998  -2.562117
   0.681317   15149.92   8.736110   0.00726752  -2.602544
   0.721317   14852.04   8.736382   0.00726524  -2.637314
   0.761317   14622.13   8.736608   0.00726335  -2.664642
   0.801317   14455.35   8.736781   0.00726190  -2.684744
   0.841317   14379.44   8.736870   0.00726099  -2.693961
   0.881317   14331.30   8.736940   0.00726040  -2.699857
   0.921317   14294.36   8.737001   0.00725989  -2.704402
   0.961317   14282.53   8.737036   0.00725960  -2.705876
   1.001317   14269.92   8.737078   0.00725925  -2.707452
   1.041317   14258.22   8.737116   0.00725894  -2.708914
   1.081317   14257.48   8.737146   0.00725868  -2.709034
   1.121317   14242.41   8.737189   0.00725832  -2.710915
   1.161317   14227.81   8.737230   0.00725798  -2.712737
   1.201317   14211.54   8.737274   0.00725762  -2.714769
   1.241317   14197.92   8.737313   0.00725729  -2.716473
   1.281317   14185.49   8.737353   0.00725696  -2.718035
   1.321317   14173.39   8.737391   0.00725664  -2.719555
   1.361317   14168.19   8.737423   0.00725637  -2.720225
   1.401317   14161.00   8.737457   0.00725608  -2.721141
   1.441317   14145.83   8.737498   0.00725574  -2.723044
   1.481317   14134.13   8.737536   0.00725542  -2.724519
   1.521317   14123.80   8.737573   0.00725512  -2.725827
   1.561317   14116.13   8.737607   0.00725483  -2.726804
   1.601317   14107.19   8.737643   0.00725453  -2.727940
   1.641317   14097.58   8.737679   0.00725423  -2.729161
   1.681317   14093.15   8.737709   0.00725398  -2.729736
   1.721317   14087.32   8.737743   0.00725370  -2.730488
   1.761317   14076.77   8.737780   0.00725338  -2.731827
   1.801317   14066.25   8.737817   0.00725308  -2.733163
   1.841317   14055.51   8.737853   0.00725277  -2.734526
   1.881317   14047.99   8.737886   0.00725250  -2.735490
   1.921317   14034.93   8.737927   0.00725216  -2.737145
   1.961317   14015.40   8.737972   0.00725178  -2.739610
   2.001317   13994.68   8.738018   0.00725140  -2.742227
   2.041317   13971.49   8.738067   0.00725099  -2.745155
   2.081317   13963.18   8.738101   0.00725071  -2.746223
   2.121317   13953.36   8.738136   0.00725041  -2.747480
   2.161317   13947.09   8.738169   0.00725014  -2.748294
   2.201317   13936.30   8.738205   0.00724984  -2.749675
   2.241317   13929.93   8.738237   0.00724957  -2.750501
   2.281317   13914.30   8.738280   0.00724922  -2.752494
   2.321317   13892.17   8.738327   0.00724882  -2.755307
   2.361317   13877.63   8.738366   0.00724849  -2.757165
   2.401317   13858.81   8.738411   0.00724812  -2.759567
   2.441317   13832.81   8.738462   0.00724769  -2.762880
   2.481317   13799.13   8.738525   0.00724717  -2.767178
   2.521317   13745.39   8.738600   0.00724654  -2.774031
   2.551317   13690.09   8.738681   0.00724587  -2.781115
   2.580730   13566.93   8.738830   0.00724462  -2.796964
   2.606079   13443.29   8.738959   0.00724372  -2.813013
   2.629684   13327.35   8.739070   0.00724279  -2.828172
   2.653704   13211.82   8.739180   0.00724188  -2.843405
   2.677635   13099.29   8.739286   0.00724099  -2.858371
   2.701334   12988.92   8.739390   0.00724013  -2.873175
   2.725117   12879.85   8.739493   0.00723927  -2.887926
   2.749038   12771.68   8.739596   0.00723841  -2.902679
   2.774693   12657.59   8.739706   0.00723749  -2.918378
   2.804495   12547.89   8.739813   0.00723660  -2.933607
   2.837876   12438.79   8.739920   0.00723571  -2.948883
   2.875372   12328.18   8.740030   0.00723480  -2.964510
   2.914560   12217.05   8.740142   0.00723386  -2.980354
   2.955174   12105.93   8.740257   0.00723290  -2.996340
   2.995261   12001.10   8.740369   0.00723197  -3.011560
   3.038379   11889.60   8.740491   0.00723096  -3.027898
   3.079443   11779.36   8.740617   0.00722991  -3.044207
   3.120967   11671.27   8.740745   0.00722884  -3.060349
   3.163330   11564.19   8.740875   0.00722776  -3.076491
   3.207605   11453.77   8.741009   0.00722665  -3.093292
   3.255394   11339.82   8.741146   0.00722550  -3.110799
   3.300768   11231.23   8.741276   0.00722442  -3.127644
   3.346954   11122.76   8.741405   0.00722335  -3.144631
   3.393908   11011.90   8.741532   0.00722229  -3.162159
   3.441647   10896.18   8.741661   0.00722122  -3.180639
   3.491620   10782.49   8.741784   0.00722020  -3.198983
   3.541475   10667.58   8.741902   0.00721922  -3.217715
   3.596930   10547.84   8.742021   0.00721823  -3.237443
   3.650215   10432.75   8.742133   0.00721730  -3.256614
   3.702875   10320.06   8.742242   0.00721640  -3.275590
   3.758647   10203.18   8.742352   0.00721548  -3.295486
   3.816508   10089.76   8.742461   0.00721458  -3.315014
   3.873623    9978.34   8.742568   0.00721369  -3.334411
   3.930448    9869.95   8.742674   0.00721281  -3.353490
   3.987903    9761.18   8.742779   0.00721193  -3.372846
   4.049760    9647.78   8.742891   0.00721101  -3.393257
   4.105697    9541.36   8.742995   0.00721014  -3.412630
   4.169347    9429.21   8.743103   0.00720924  -3.433279
   4.234504    9319.00   8.743210   0.00720836  -3.453809
   4.297765    9208.67   8.743318   0.00720746  -3.474606
   4.361791    9103.25   8.743421   0.00720660  -3.494712
   4.425851    8994.70   8.743529   0.00720571  -3.515658
   4.491256    8886.77   8.743637   0.00720481  -3.536738
   4.554310    8784.74   8.743740   0.00720396  -3.556901
   4.620837    8677.98   8.743844   0.00720310  -3.578246
   4.688337    8574.54   8.743943   0.00720227  -3.599177
   4.757804    8470.71   8.744040   0.00720147  -3.620437
   4.824073    8374.54   8.744126   0.00720076  -3.640358
   4.887106    8279.58   8.744209   0.00720007  -3.660253
   4.951240    8185.99   8.744291   0.00719939  -3.680082
   5.016390    8091.84   8.744373   0.00719871  -3.700259
   5.080976    8001.33   8.744452   0.00719805  -3.719879
   5.146455    7912.19   8.744533   0.00719738  -3.739423
   5.212554    7822.88   8.744614   0.00719672  -3.759223
   5.277695    7737.60   8.744693   0.00719606  -3.778344
   5.343392    7653.56   8.744774   0.00719539  -3.797397
   5.405020    7573.10   8.744853   0.00719473  -3.815836
   5.467142    7491.56   8.744934   0.00719406  -3.834721
   5.530771    7415.20   8.745010   0.00719343  -3.852596
   5.590598    7341.96   8.745087   0.00719280  -3.869915
   5.653744    7269.58   8.745163   0.00719217  -3.887203
   5.711352    7202.14   8.745237   0.00719155  -3.903467
   5.768446    7135.99   8.745311   0.00719094  -3.919571
   5.823692    7073.43   8.745383   0.00719034  -3.934938
   5.877969    7013.24   8.745455   0.00718975  -3.949856
   5.931404    6955.07   8.745525   0.00718917  -3.964394
   5.984337    6898.46   8.745594   0.00718860  -3.978662
   6.036760    6843.34   8.745662   0.00718803  -3.992665
   6.088734    6789.60   8.745731   0.00718746  -4.006431
   6.137023    6737.33   8.745801   0.00718689  -4.019926
   6.187091    6687.22   8.745868   0.00718633  -4.032962
   6.236488    6638.45   8.745936   0.00718577  -4.045746
   6.284550    6592.76   8.746003   0.00718521  -4.057811
   6.329928    6547.65   8.746071   0.00718465  -4.069807
   6.377162    6504.78   8.746138   0.00718410  -4.081283
   6.421849    6462.78   8.746205   0.00718355  -4.092603
   6.469155    6422.26   8.746270   0.00718301  -4.103595
   6.514292    6382.33   8.746336   0.00718246  -4.114494
   6.562637    6343.36   8.746401   0.00718192  -4.125200
   6.608975    6305.12   8.746467   0.00718138  -4.135770
   6.658924    6267.97   8.746532   0.00718084  -4.146101
   6.706603    6231.72   8.746600   0.00718028  -4.156244
   6.757485    6197.52   8.746666   0.00717973  -4.165870
   6.809328    6162.84   8.746739   0.00717913  -4.175693
   6.862043    6131.46   8.746808   0.00717856  -4.184628
   6.915396    6101.29   8.746878   0.00717798  -4.193267
   6.969485    6070.77   8.746951   0.00717738  -4.202050
   7.025164    6042.11   8.747019   0.00717681  -4.210342
   7.081103    6014.17   8.747087   0.00717625  -4.218460
   7.137594    5986.73   8.747153   0.00717570  -4.226470
   7.194508    5959.75   8.747218   0.00717517  -4.234381
   7.251662    5933.28   8.747283   0.00717463  -4.242180
   7.308885    5907.36   8.747347   0.00717411  -4.249850
   7.366022    5882.01   8.747409   0.00717359  -4.257381
   7.422932    5857.27   8.747471   0.00717308  -4.264767
   7.479490    5833.11   8.747532   0.00717258  -4.272008
   7.535585    5810.14   8.747591   0.00717209  -4.278921
   7.589188    5787.62   8.747648   0.00717161  -4.285724
   7.643787    5764.95   8.747707   0.00717114  -4.292602
   7.697859    5742.53   8.747764   0.00717066  -4.299428
   7.751193    5720.24   8.747819   0.00717021  -4.306237
   7.803689    5698.52   8.747872   0.00716977  -4.312898
   7.853305    5677.00   8.747922   0.00716936  -4.319522
   7.903890    5654.60   8.747973   0.00716894  -4.326442
   7.953683    5632.52   8.748021   0.00716854  -4.333286
   8.003485    5609.60   8.748069   0.00716815  -4.340418
   8.051968    5586.21   8.748116   0.00716776  -4.347724
   8.098592    5563.28   8.748161   0.00716739  -4.354914
   8.144508    5540.15   8.748205   0.00716702  -4.362194
   8.189302    5516.99   8.748248   0.00716667  -4.369517
   8.233048    5493.70   8.748290   0.00716632  -4.376905
