- M = 1.15 Mo
- log q(H) = -6.0
- log q(He) = -3.0
- X(O) from Bauer (2023)
- X(Ne) = 0.030
- Full distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   66001.08   8.878298   0.00645723  -0.148662
   0.000100   65509.97   8.879667   0.00644706  -0.163005
   0.000200   64673.31   8.881370   0.00643444  -0.187037
   0.000341   63323.49   8.883136   0.00642136  -0.225445
   0.000498   61904.46   8.884697   0.00640984  -0.266377
   0.000682   60498.43   8.886132   0.00639926  -0.307724
   0.000902   59158.79   8.887454   0.00638952  -0.347945
   0.001172   57919.67   8.888672   0.00638057  -0.385935
   0.001510   56785.14   8.889803   0.00637226  -0.421432
   0.001943   55748.00   8.890863   0.00636449  -0.454514
   0.002505   54803.90   8.891871   0.00635711  -0.485193
   0.003237   53929.40   8.892853   0.00634993  -0.514118
   0.004181   53104.30   8.893837   0.00634274  -0.541886
   0.005373   52295.42   8.894834   0.00633546  -0.569547
   0.006824   51489.48   8.895830   0.00632820  -0.597524
   0.008489   50691.52   8.896783   0.00632126  -0.625610
   0.010357   49893.25   8.897683   0.00631472  -0.654084
   0.012418   49091.53   8.898552   0.00630841  -0.683093
   0.014668   48289.10   8.899400   0.00630224  -0.712572
   0.017093   47487.94   8.900232   0.00629621  -0.742467
   0.019680   46692.81   8.901049   0.00629029  -0.772617
   0.022430   45903.64   8.901839   0.00628458  -0.803018
   0.025333   45122.86   8.902601   0.00627907  -0.833582
   0.028383   44352.16   8.903339   0.00627373  -0.864248
   0.031589   43590.72   8.904061   0.00626852  -0.895052
   0.034933   42842.90   8.904766   0.00626343  -0.925819
   0.038447   42103.84   8.905476   0.00625832  -0.956757
   0.042099   41379.54   8.906177   0.00625327  -0.987602
   0.045919   40664.21   8.906867   0.00624830  -1.018585
   0.049912   39957.45   8.907537   0.00624348  -1.049714
   0.054055   39263.24   8.908175   0.00623890  -1.080798
   0.058350   38581.33   8.908774   0.00623460  -1.111833
   0.062804   37911.67   8.909343   0.00623051  -1.142820
   0.067417   37255.54   8.909890   0.00622659  -1.173694
   0.072226   36608.79   8.910424   0.00622277  -1.204650
   0.077188   35978.16   8.910946   0.00621903  -1.235358
   0.082382   35354.79   8.911467   0.00621530  -1.266242
   0.087765   34743.96   8.911971   0.00621169  -1.297022
   0.093353   34144.31   8.912456   0.00620823  -1.327750
   0.099159   33555.14   8.912924   0.00620488  -1.358456
   0.105216   32974.34   8.913381   0.00620162  -1.389245
   0.111523   32403.11   8.913830   0.00619841  -1.420052
   0.118018   31847.88   8.914276   0.00619523  -1.450522
   0.124846   31296.71   8.914716   0.00619209  -1.481289
   0.131928   30756.81   8.915137   0.00618909  -1.511940
   0.139260   30229.25   8.915540   0.00618622  -1.542398
   0.146869   29713.03   8.915927   0.00618346  -1.572707
   0.154787   29206.70   8.916303   0.00618079  -1.602941
   0.163018   28711.05   8.916676   0.00617814  -1.633047
   0.171637   28222.70   8.917062   0.00617540  -1.663235
   0.180551   27746.75   8.917451   0.00617263  -1.693170
   0.189795   27280.74   8.917838   0.00616988  -1.722981
   0.199395   26822.93   8.918216   0.00616719  -1.752759
   0.209542   26365.41   8.918586   0.00616457  -1.783015
   0.220060   25916.74   8.918932   0.00616211  -1.813178
   0.230910   25479.31   8.919266   0.00615974  -1.843083
   0.242102   25053.05   8.919594   0.00615741  -1.872719
   0.253870   24629.73   8.919922   0.00615509  -1.902652
   0.265971   24218.26   8.920240   0.00615283  -1.932237
   0.278601   23812.29   8.920551   0.00615063  -1.961915
   0.291631   23415.92   8.920846   0.00614855  -1.991369
   0.305200   23025.00   8.921116   0.00614663  -2.020886
   0.319345   22639.34   8.921369   0.00614485  -2.050482
   0.334102   22259.01   8.921610   0.00614314  -2.080155
   0.349628   21881.20   8.921849   0.00614145  -2.110132
   0.365724   21511.59   8.922089   0.00613976  -2.139966
   0.382182   21154.86   8.922334   0.00613802  -2.169261
   0.399527   20800.18   8.922597   0.00613617  -2.198896
   0.417648   20450.38   8.922865   0.00613427  -2.228627
   0.447648   19920.07   8.923281   0.00613133  -2.274685
   0.477648   19458.03   8.923641   0.00612880  -2.315813
   0.507648   19094.89   8.923914   0.00612687  -2.348813
   0.537648   18829.36   8.924110   0.00612548  -2.373336
   0.567648   18670.72   8.924237   0.00612444  -2.388144
   0.597648   18600.56   8.924315   0.00612389  -2.394762
   0.627648   18553.53   8.924380   0.00612343  -2.399225
   0.657648   18535.08   8.924430   0.00612308  -2.401003
   0.687648   18522.66   8.924477   0.00612275  -2.402214
   0.717648   18502.82   8.924527   0.00612240  -2.404127
   0.747648   18485.83   8.924576   0.00612205  -2.405772
   0.777648   18458.79   8.924631   0.00612167  -2.408369
   0.807648   18433.34   8.924683   0.00612130  -2.410819
   0.837648   18415.94   8.924732   0.00612096  -2.412507
   0.867648   18404.00   8.924777   0.00612064  -2.413679
   0.897648   18399.47   8.924818   0.00612035  -2.414148
   0.927648   18389.19   8.924862   0.00612003  -2.415163
   0.957648   18371.76   8.924910   0.00611970  -2.416858
   0.987648   18357.35   8.924956   0.00611937  -2.418268
   1.017648   18340.55   8.925003   0.00611904  -2.419905
   1.047648   18325.15   8.925050   0.00611872  -2.421410
   1.077648   18309.96   8.925095   0.00611839  -2.422896
   1.107648   18303.06   8.925137   0.00611810  -2.423593
   1.137648   18295.10   8.925179   0.00611781  -2.424390
   1.167648   18280.34   8.925225   0.00611748  -2.425839
   1.197648   18267.33   8.925270   0.00611716  -2.427121
   1.227648   18257.06   8.925314   0.00611686  -2.428141
   1.257648   18248.22   8.925356   0.00611656  -2.429025
   1.287648   18237.24   8.925400   0.00611625  -2.430115
   1.317648   18225.44   8.925444   0.00611594  -2.431283
   1.347648   18212.93   8.925489   0.00611562  -2.432520
   1.377648   18201.20   8.925532   0.00611532  -2.433684
   1.407648   18187.80   8.925577   0.00611500  -2.435007
   1.437648   18176.27   8.925621   0.00611470  -2.436153
   1.467648   18171.24   8.925660   0.00611441  -2.436674
   1.497648   18169.25   8.925699   0.00611414  -2.436902
   1.527648   18165.55   8.925738   0.00611387  -2.437295
   1.557648   18161.35   8.925777   0.00611359  -2.437736
   1.587648   18156.70   8.925817   0.00611331  -2.438221
   1.617648   18150.70   8.925857   0.00611303  -2.438834
   1.647648   18144.67   8.925897   0.00611275  -2.439452
   1.677648   18143.41   8.925935   0.00611248  -2.439611
   1.707648   18139.82   8.925974   0.00611221  -2.439993
   1.737648   18132.47   8.926015   0.00611192  -2.440738
   1.767648   18126.68   8.926055   0.00611164  -2.441333
   1.797648   18119.98   8.926095   0.00611136  -2.442015
   1.827648   18110.46   8.926137   0.00611106  -2.442970
   1.857648   18097.26   8.926180   0.00611075  -2.444280
   1.887648   18083.93   8.926224   0.00611045  -2.445604
   1.917648   18069.42   8.926268   0.00611014  -2.447042
   1.947648   18060.76   8.926309   0.00610985  -2.447915
   1.977648   18054.53   8.926348   0.00610958  -2.448555
   2.007648   18048.43   8.926387   0.00610930  -2.449181
   2.037648   18042.95   8.926426   0.00610903  -2.449747
   2.067648   18045.16   8.926461   0.00610878  -2.449569
   2.097648   18046.45   8.926497   0.00610853  -2.449481
   2.127648   18043.71   8.926534   0.00610826  -2.449782
   2.157648   18035.40   8.926575   0.00610798  -2.450623
   2.187648   18033.59   8.926612   0.00610772  -2.450834
   2.217648   18030.59   8.926651   0.00610745  -2.451162
   2.247648   18025.91   8.926690   0.00610717  -2.451652
   2.277648   18018.01   8.926731   0.00610689  -2.452454
   2.307648   18010.84   8.926771   0.00610660  -2.453186
   2.337648   18008.22   8.926808   0.00610634  -2.453476
   2.367648   17998.61   8.926850   0.00610605  -2.454445
   2.397648   17984.20   8.926894   0.00610574  -2.455881
   2.427648   17971.74   8.926936   0.00610544  -2.457126
   2.457648   17969.30   8.926974   0.00610518  -2.457400
   2.487648   17967.21   8.927011   0.00610491  -2.457639
   2.517648   17962.02   8.927050   0.00610464  -2.458180
   2.547648   17955.69   8.927089   0.00610436  -2.458833
   2.577648   17948.52   8.927129   0.00610408  -2.459566
   2.607648   17946.37   8.927166   0.00610382  -2.459811
   2.637648   17943.68   8.927204   0.00610356  -2.460109
   2.667648   17934.35   8.927245   0.00610327  -2.461053
   2.697648   17917.47   8.927290   0.00610295  -2.462735
   2.727648   17897.95   8.927336   0.00610263  -2.464674
   2.757648   17879.05   8.927382   0.00610231  -2.466555
   2.787648   17860.72   8.927427   0.00610199  -2.468382
   2.817648   17844.44   8.927471   0.00610168  -2.470010
   2.847648   17834.77   8.927511   0.00610140  -2.470992
   2.877648   17829.17   8.927549   0.00610114  -2.471576
   2.907648   17826.02   8.927586   0.00610088  -2.471919
   2.937648   17823.85   8.927622   0.00610062  -2.472167
   2.967648   17821.10   8.927659   0.00610036  -2.472472
   2.997648   17822.45   8.927693   0.00610012  -2.472375
   3.027648   17824.08   8.927728   0.00609988  -2.472250
   3.057648   17819.83   8.927766   0.00609961  -2.472702
   3.087648   17823.28   8.927799   0.00609938  -2.472399
   3.117648   17827.65   8.927832   0.00609915  -2.472006
   3.147648   17828.53   8.927867   0.00609890  -2.471956
   3.177648   17821.90   8.927906   0.00609863  -2.472642
   3.207648   17816.25   8.927944   0.00609836  -2.473230
   3.237648   17815.01   8.927980   0.00609811  -2.473387
   3.267648   17812.75   8.928017   0.00609785  -2.473644
   3.297648   17798.14   8.928060   0.00609755  -2.475113
   3.327648   17787.70   8.928100   0.00609726  -2.476172
   3.357648   17779.75   8.928140   0.00609699  -2.476988
   3.387648   17783.16   8.928173   0.00609676  -2.476688
   3.417648   17781.09   8.928209   0.00609650  -2.476926
   3.447648   17775.05   8.928247   0.00609624  -2.477554
   3.477648   17770.01   8.928284   0.00609598  -2.478084
   3.507648   17769.77   8.928318   0.00609573  -2.478142
   3.537648   17766.73   8.928355   0.00609548  -2.478476
   3.567648   17759.31   8.928393   0.00609521  -2.479241
   3.597648   17751.59   8.928432   0.00609494  -2.480034
   3.627648   17744.49   8.928470   0.00609467  -2.480767
   3.657648   17748.74   8.928502   0.00609444  -2.480383
   3.687648   17744.57   8.928540   0.00609418  -2.480829
   3.717648   17734.94   8.928579   0.00609390  -2.481811
   3.747648   17725.04   8.928619   0.00609362  -2.482822
   3.777648   17719.80   8.928656   0.00609336  -2.483372
   3.807648   17713.58   8.928693   0.00609310  -2.484019
   3.837648   17695.53   8.928738   0.00609279  -2.485834
   3.867648   17671.88   8.928786   0.00609245  -2.488206
   3.897648   17676.09   8.928818   0.00609223  -2.487824
   3.927648   17686.18   8.928847   0.00609202  -2.486863
   3.957648   17697.70   8.928876   0.00609182  -2.485760
   3.987648   17697.78   8.928912   0.00609157  -2.485788
   4.017648   17677.73   8.928958   0.00609125  -2.487803
   4.047648   17658.79   8.929003   0.00609093  -2.489711
   4.077648   17641.47   8.929047   0.00609062  -2.491458
   4.107648   17615.68   8.929095   0.00609029  -2.494048
