- M = 1.20 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.040
- Partial distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   68000.92   9.010591   0.00566424  -0.210617
   0.000100   66752.36   9.012339   0.00565285  -0.244557
   0.000187   65226.91   9.013668   0.00564421  -0.286045
   0.000285   63493.92   9.014886   0.00563630  -0.334042
   0.000398   61733.67   9.016043   0.00562880  -0.384039
   0.000534   60035.49   9.017145   0.00562166  -0.433597
   0.000698   58471.87   9.018177   0.00561499  -0.480473
   0.000903   57051.54   9.019153   0.00560868  -0.524168
   0.001168   55778.45   9.020085   0.00560266  -0.564304
   0.001519   54650.48   9.020989   0.00559684  -0.600697
   0.001991   53655.25   9.021872   0.00559115  -0.633508
   0.002629   52767.29   9.022740   0.00558557  -0.663365
   0.003485   51950.14   9.023602   0.00558003  -0.691339
   0.004602   51164.20   9.024473   0.00557443  -0.718693
   0.006017   50377.99   9.025364   0.00556872  -0.746485
   0.007753   49573.32   9.026262   0.00556296  -0.775355
   0.009782   48762.09   9.027135   0.00555738  -0.804890
   0.012115   47941.23   9.027968   0.00555205  -0.835216
   0.014759   47114.41   9.028755   0.00554702  -0.866224
   0.017742   46282.69   9.029519   0.00554214  -0.897930
   0.021061   45453.35   9.030260   0.00553742  -0.930080
   0.024728   44627.95   9.030976   0.00553285  -0.962633
   0.028747   43809.85   9.031667   0.00552845  -0.995465
   0.033121   43000.38   9.032323   0.00552428  -1.028518
   0.037841   42203.30   9.032947   0.00552032  -1.061646
   0.042932   41416.50   9.033548   0.00551650  -1.094939
   0.048383   40643.51   9.034131   0.00551279  -1.128251
   0.054222   39881.91   9.034702   0.00550917  -1.161683
   0.060444   39134.01   9.035267   0.00550559  -1.195135
   0.067027   38403.29   9.035823   0.00550207  -1.228433
   0.074004   37686.76   9.036364   0.00549864  -1.261693
   0.081365   36986.10   9.036888   0.00549532  -1.294818
   0.089119   36300.47   9.037390   0.00549215  -1.327825
   0.097286   35628.56   9.037867   0.00548913  -1.360759
   0.105883   34970.10   9.038319   0.00548628  -1.393616
   0.114921   34325.19   9.038745   0.00548358  -1.426378
   0.124440   33692.54   9.039153   0.00548101  -1.459102
   0.134454   33072.53   9.039548   0.00547852  -1.491763
   0.144929   32468.61   9.039936   0.00547607  -1.524165
   0.156040   31872.61   9.040328   0.00547360  -1.556742
   0.167650   31292.68   9.040715   0.00547116  -1.589029
   0.179959   30720.53   9.041099   0.00546874  -1.621469
   0.192779   30165.16   9.041472   0.00546640  -1.653534
   0.206209   29623.50   9.041837   0.00546410  -1.685376
   0.220375   29091.22   9.042194   0.00546185  -1.717231
   0.235225   28571.75   9.042542   0.00545966  -1.748879
   0.250978   28058.87   9.042886   0.00545750  -1.780690
   0.267390   27560.37   9.043208   0.00545548  -1.812153
   0.284647   27071.95   9.043513   0.00545356  -1.843519
   0.302829   26592.52   9.043806   0.00545173  -1.874852
   0.321857   26125.29   9.044087   0.00544997  -1.905926
   0.342073   25663.78   9.044364   0.00544823  -1.937166
   0.363201   25215.70   9.044643   0.00544648  -1.968043
   0.385797   24771.87   9.044944   0.00544459  -1.999194
   0.409786   24335.48   9.045261   0.00544260  -2.030386
   0.434996   23910.72   9.045579   0.00544061  -2.061293
   0.461285   23500.10   9.045886   0.00543869  -2.091692
   0.489367   23093.29   9.046180   0.00543685  -2.122321
   0.518735   22698.05   9.046442   0.00543521  -2.152572
   0.549938   22308.30   9.046679   0.00543372  -2.182898
   0.583177   21923.88   9.046906   0.00543230  -2.213321
   0.617730   21553.79   9.047121   0.00543096  -2.243110
   0.654393   21190.64   9.047330   0.00542966  -2.272838
   0.693574   20832.56   9.047538   0.00542835  -2.302652
   0.734659   20486.40   9.047743   0.00542707  -2.331965
   0.778739   20144.60   9.047949   0.00542578  -2.361399
   0.825086   19813.83   9.048146   0.00542455  -2.390357
   0.874334   19490.67   9.048338   0.00542336  -2.419115
   0.926709   19175.07   9.048525   0.00542219  -2.447661
   0.983228   18863.06   9.048711   0.00542103  -2.476348
   1.042770   18562.03   9.048895   0.00541988  -2.504477
   1.106971   18265.49   9.049080   0.00541872  -2.532639
   1.186971   17947.96   9.049290   0.00541741  -2.563314
   1.266971   17718.71   9.049459   0.00541636  -2.585815
   1.346971   17561.14   9.049593   0.00541553  -2.601467
   1.426971   17469.02   9.049694   0.00541490  -2.610705
   1.506971   17444.87   9.049760   0.00541435  -2.613157
   1.586971   17415.75   9.049829   0.00541393  -2.616128
   1.666971   17385.10   9.049898   0.00541349  -2.619258
   1.746971   17365.29   9.049963   0.00541309  -2.621302
   1.826971   17344.50   9.050027   0.00541269  -2.623448
   1.906971   17323.66   9.050092   0.00541229  -2.625601
   1.986971   17303.25   9.050157   0.00541188  -2.627714
   2.066971   17284.85   9.050221   0.00541148  -2.629626
   2.146971   17274.43   9.050281   0.00541111  -2.630734
   2.226971   17257.28   9.050344   0.00541072  -2.632522
   2.306971   17240.37   9.050407   0.00541032  -2.634288
   2.386971   17222.75   9.050471   0.00540993  -2.636128
   2.466971   17210.19   9.050532   0.00540955  -2.637457
   2.546971   17200.25   9.050592   0.00540917  -2.638520
   2.626971   17189.20   9.050652   0.00540880  -2.639697
   2.706971   17173.91   9.050715   0.00540841  -2.641306
   2.786971   17162.90   9.050775   0.00540803  -2.642480
   2.866971   17152.87   9.050835   0.00540766  -2.643555
   2.946971   17137.96   9.050897   0.00540727  -2.645128
   3.026971   17127.56   9.050958   0.00540690  -2.646243
   3.106971   17113.10   9.051020   0.00540651  -2.647773
   3.186971   17099.14   9.051081   0.00540613  -2.649252
   3.266971   17087.11   9.051142   0.00540575  -2.650536
   3.346971   17074.99   9.051203   0.00540537  -2.651829
   3.426971   17061.36   9.051265   0.00540499  -2.653278
   3.506971   17049.35   9.051325   0.00540461  -2.654562
   3.586971   17043.34   9.051383   0.00540425  -2.655232
   3.666971   17034.02   9.051443   0.00540388  -2.656242
   3.746971   17025.99   9.051502   0.00540351  -2.657120
   3.826971   17016.38   9.051562   0.00540314  -2.658160
   3.906971   17006.95   9.051621   0.00540277  -2.659183
   3.986971   17000.21   9.051680   0.00540240  -2.659931
   4.066971   16993.38   9.051738   0.00540204  -2.660687
   4.146971   16984.76   9.051798   0.00540167  -2.661627
   4.226971   16976.49   9.051857   0.00540130  -2.662533
   4.306971   16966.83   9.051917   0.00540093  -2.663581
   4.386971   16962.15   9.051974   0.00540057  -2.664118
   4.466971   16957.64   9.052031   0.00540022  -2.664637
   4.546971   16948.17   9.052091   0.00539984  -2.665667
   4.626971   16937.71   9.052151   0.00539947  -2.666800
   4.706971   16928.28   9.052211   0.00539910  -2.667827
   4.786971   16921.23   9.052269   0.00539874  -2.668610
   4.866971   16912.43   9.052329   0.00539837  -2.669573
   4.946971   16904.39   9.052387   0.00539800  -2.670457
   5.026971   16900.16   9.052444   0.00539765  -2.670949
   5.106971   16899.17   9.052500   0.00539730  -2.671107
   5.186971   16892.41   9.052558   0.00539694  -2.671860
   5.266971   16881.22   9.052619   0.00539657  -2.673071
   5.346971   16871.62   9.052678   0.00539620  -2.674119
   5.426971   16861.28   9.052738   0.00539582  -2.675244
   5.506971   16853.00   9.052797   0.00539546  -2.676156
   5.586971   16844.94   9.052855   0.00539510  -2.677045
   5.666971   16837.05   9.052914   0.00539473  -2.677917
   5.746971   16834.83   9.052970   0.00539439  -2.678202
   5.826971   16829.95   9.053027   0.00539403  -2.678763
   5.906971   16823.83   9.053084   0.00539367  -2.679452
   5.986971   16823.28   9.053139   0.00539333  -2.679564
   6.066971   16821.81   9.053195   0.00539299  -2.679772
   6.146971   16819.75   9.053250   0.00539264  -2.680040
   6.226971   16819.60   9.053305   0.00539230  -2.680110
   6.306971   16811.85   9.053364   0.00539194  -2.680969
   6.386971   16810.27   9.053419   0.00539159  -2.681188
   6.466971   16804.61   9.053477   0.00539124  -2.681831
   6.546971   16799.80   9.053534   0.00539088  -2.682385
