- M = 1.25 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.040
- Full distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   70000.94   9.148842   0.00493038  -0.280783
   0.000100   68671.67   9.149838   0.00492473  -0.315083
   0.000188   67246.69   9.150684   0.00491994  -0.352356
   0.000321   65403.85   9.151628   0.00491459  -0.401570
   0.000487   63688.17   9.152537   0.00490945  -0.448657
   0.000706   62164.63   9.153414   0.00490450  -0.491596
   0.001008   60838.70   9.154280   0.00489961  -0.529916
   0.001439   59701.87   9.155157   0.00489467  -0.563560
   0.002058   58720.54   9.156054   0.00488961  -0.593249
   0.002926   57837.06   9.156974   0.00488444  -0.620505
   0.004083   56989.11   9.157908   0.00487919  -0.647096
   0.005549   56133.39   9.158853   0.00487388  -0.674324
   0.007307   55261.32   9.159795   0.00486860  -0.702466
   0.009345   54375.54   9.160738   0.00486332  -0.731479
   0.011679   53473.65   9.161671   0.00485810  -0.761467
   0.014302   52563.39   9.162557   0.00485315  -0.792179
   0.017228   51645.87   9.163374   0.00484858  -0.823587
   0.020465   50728.04   9.164146   0.00484427  -0.855509
   0.024015   49815.69   9.164892   0.00484012  -0.887783
   0.027892   48909.92   9.165611   0.00483611  -0.920379
   0.032090   48014.91   9.166302   0.00483226  -0.953154
   0.036609   47132.41   9.166960   0.00482860  -0.986037
   0.041458   46261.76   9.167580   0.00482516  -1.019047
   0.046683   45398.35   9.168173   0.00482186  -1.052369
   0.052228   44553.48   9.168741   0.00481871  -1.085571
   0.058116   43724.86   9.169295   0.00481564  -1.118737
   0.064353   42912.99   9.169838   0.00481263  -1.151839
   0.070990   42113.67   9.170382   0.00480961  -1.185046
   0.077982   41333.04   9.170911   0.00480669  -1.218077
   0.085374   40567.09   9.171423   0.00480386  -1.251083
   0.093150   39818.39   9.171915   0.00480114  -1.283936
   0.101324   39086.38   9.172388   0.00479852  -1.316642
   0.109913   38370.25   9.172840   0.00479603  -1.349217
   0.118953   37668.43   9.173269   0.00479366  -1.381715
   0.128486   36978.68   9.173672   0.00479144  -1.414222
   0.138581   36298.67   9.174057   0.00478931  -1.446849
   0.149154   35635.72   9.174429   0.00478726  -1.479242
   0.160381   34981.57   9.174802   0.00478521  -1.511800
   0.171987   34352.87   9.175174   0.00478316  -1.543677
   0.184335   33731.21   9.175552   0.00478108  -1.575780
   0.197337   33122.91   9.175931   0.00477899  -1.607772
   0.210955   32531.07   9.176304   0.00477694  -1.639466
   0.225338   31949.98   9.176671   0.00477492  -1.671144
   0.240570   31378.46   9.177029   0.00477295  -1.702858
   0.256541   30820.72   9.177372   0.00477107  -1.734356
   0.273321   30276.40   9.177696   0.00476929  -1.765634
   0.291042   29741.21   9.177992   0.00476766  -1.796913
   0.309672   29218.31   9.178265   0.00476616  -1.828001
   0.329240   28708.16   9.178524   0.00476474  -1.858858
   0.349983   28206.73   9.178778   0.00476335  -1.889722
   0.372095   27712.27   9.179036   0.00476194  -1.920703
   0.395311   27232.79   9.179307   0.00476045  -1.951294
   0.420129   26760.80   9.179614   0.00475877  -1.981974
   0.446489   26299.09   9.179945   0.00475695  -2.012538
   0.474561   25846.47   9.180285   0.00475509  -2.043036
   0.504222   25405.84   9.180615   0.00475329  -2.073237
   0.535743   24973.78   9.180922   0.00475161  -2.103341
   0.569056   24552.14   9.181189   0.00475015  -2.133187
   0.604376   24139.23   9.181416   0.00474891  -2.162878
   0.642035   23733.93   9.181620   0.00474779  -2.192497
   0.682368   23335.13   9.181811   0.00474675  -2.222126
   0.725816   22941.73   9.181995   0.00474574  -2.251846
   0.771652   22562.45   9.182176   0.00474475  -2.280987
   0.821034   22190.20   9.182366   0.00474371  -2.310077
   0.881034   21791.18   9.182589   0.00474250  -2.341821
   0.941034   21476.41   9.182777   0.00474147  -2.367286
   1.001034   21260.04   9.182926   0.00474066  -2.385025
   1.061034   21119.91   9.183045   0.00474001  -2.396633
   1.121034   21055.67   9.183138   0.00473939  -2.402001
   1.181034   21013.77   9.183222   0.00473893  -2.405545
   1.241034   20983.99   9.183303   0.00473849  -2.408089
   1.301034   20962.04   9.183381   0.00473806  -2.409985
   1.361034   20937.57   9.183460   0.00473763  -2.412094
   1.421034   20920.76   9.183537   0.00473721  -2.413566
   1.481034   20898.40   9.183616   0.00473678  -2.415502
   1.541034   20877.18   9.183694   0.00473635  -2.417345
   1.601034   20860.27   9.183771   0.00473593  -2.418831
   1.661034   20843.41   9.183848   0.00473551  -2.420312
   1.721034   20828.39   9.183925   0.00473510  -2.421641
   1.781034   20818.38   9.183999   0.00473469  -2.422551
   1.841034   20803.93   9.184076   0.00473427  -2.423834
   1.901034   20783.96   9.184154   0.00473385  -2.425580
   1.961034   20769.42   9.184231   0.00473343  -2.426872
   2.021034   20753.15   9.184308   0.00473301  -2.428310
   2.081034   20741.19   9.184383   0.00473260  -2.429387
   2.141034   20725.77   9.184460   0.00473218  -2.430756
   2.201034   20718.40   9.184533   0.00473178  -2.431447
   2.261034   20707.39   9.184609   0.00473137  -2.432447
   2.321034   20691.38   9.184685   0.00473095  -2.433866
   2.381034   20680.69   9.184760   0.00473054  -2.434839
   2.441034   20677.52   9.184833   0.00473015  -2.435178
   2.501034   20666.86   9.184908   0.00472974  -2.436148
   2.561034   20652.39   9.184984   0.00472933  -2.437441
   2.621034   20640.31   9.185059   0.00472892  -2.438533
   2.681034   20629.84   9.185133   0.00472851  -2.439489
   2.741034   20625.38   9.185206   0.00472812  -2.439937
   2.801034   20612.36   9.185282   0.00472771  -2.441110
   2.861034   20599.13   9.185357   0.00472730  -2.442300
   2.921034   20586.98   9.185432   0.00472689  -2.443401
   2.981034   20582.57   9.185505   0.00472649  -2.443845
   3.041034   20574.54   9.185578   0.00472609  -2.444597
   3.101034   20562.62   9.185654   0.00472568  -2.445679
   3.161034   20549.79   9.185729   0.00472527  -2.446838
   3.221034   20537.90   9.185804   0.00472486  -2.447919
   3.281034   20528.97   9.185878   0.00472446  -2.448748
   3.341034   20520.00   9.185952   0.00472406  -2.449582
   3.401034   20510.76   9.186027   0.00472365  -2.450438
   3.461034   20499.77   9.186101   0.00472325  -2.451444
   3.521034   20493.56   9.186175   0.00472285  -2.452044
   3.581034   20486.64   9.186248   0.00472245  -2.452704
   3.641034   20483.54   9.186320   0.00472206  -2.453039
   3.701034   20475.15   9.186394   0.00472165  -2.453824
   3.761034   20467.15   9.186468   0.00472125  -2.454577
   3.821034   20460.76   9.186541   0.00472086  -2.455193
   3.881034   20455.10   9.186614   0.00472046  -2.455747
   3.941034   20455.99   9.186685   0.00472007  -2.455741
   4.001034   20450.89   9.186758   0.00471968  -2.456248
   4.061034   20442.45   9.186832   0.00471928  -2.457039
   4.121034   20443.06   9.186903   0.00471889  -2.457058
   4.181034   20438.73   9.186976   0.00471849  -2.457499
   4.241034   20433.21   9.187049   0.00471810  -2.458041
   4.301034   20426.99   9.187122   0.00471770  -2.458643
   4.361034   20420.26   9.187196   0.00471730  -2.459289
   4.421034   20416.89   9.187268   0.00471691  -2.459648
   4.481034   20408.75   9.187342   0.00471650  -2.460415
   4.541034   20399.19   9.187416   0.00471610  -2.461304
   4.601034   20393.77   9.187489   0.00471570  -2.461838
   4.661034   20386.80   9.187563   0.00471531  -2.462506
   4.721034   20380.40   9.187636   0.00471491  -2.463124
   4.781034   20374.06   9.187709   0.00471451  -2.463737
   4.841034   20376.63   9.187779   0.00471413  -2.463588
   4.901034   20372.70   9.187851   0.00471374  -2.463996
   4.961034   20369.95   9.187923   0.00471335  -2.464302
   5.021034   20364.71   9.187996   0.00471295  -2.464822
   5.081034   20363.54   9.188068   0.00471256  -2.464993
   5.141034   20353.33   9.188142   0.00471216  -2.465939
   5.201034   20343.14   9.188217   0.00471176  -2.466884
   5.261034   20343.54   9.188287   0.00471137  -2.466920
   5.321034   20339.26   9.188360   0.00471098  -2.467359
   5.381034   20337.26   9.188432   0.00471059  -2.467601
   5.441034   20340.68   9.188502   0.00471021  -2.467379
   5.501034   20337.91   9.188574   0.00470982  -2.467687
   5.561034   20327.62   9.188648   0.00470942  -2.468642
   5.621034   20314.60   9.188724   0.00470901  -2.469829
   5.681034   20305.21   9.188798   0.00470861  -2.470706
   5.741034   20309.55   9.188867   0.00470823  -2.470405
   5.801034   20311.16   9.188938   0.00470785  -2.470337
   5.861034   20305.39   9.189011   0.00470745  -2.470904
   5.921034   20304.17   9.189082   0.00470706  -2.471080
   5.981034   20310.64   9.189151   0.00470669  -2.470596
   6.041034   20309.61   9.189223   0.00470630  -2.470756
   6.101034   20303.61   9.189296   0.00470590  -2.471342
   6.161034   20299.44   9.189369   0.00470551  -2.471772
   6.221034   20287.16   9.189444   0.00470510  -2.472898
   6.281034   20288.57   9.189515   0.00470472  -2.472848
   6.341034   20285.82   9.189587   0.00470433  -2.473155
   6.401034   20282.83   9.189659   0.00470394  -2.473484
   6.461034   20276.99   9.189732   0.00470354  -2.474057
   6.521034   20284.52   9.189801   0.00470317  -2.473480
   6.581034   20283.51   9.189872   0.00470278  -2.473639
   6.641034   20267.86   9.189949   0.00470237  -2.475056
   6.701034   20254.30   9.190025   0.00470196  -2.476294
   6.761034   20244.75   9.190099   0.00470156  -2.477188
   6.821034   20236.80   9.190172   0.00470116  -2.477944
   6.881034   20227.86   9.190246   0.00470076  -2.478785
   6.941034   20215.79   9.190321   0.00470036  -2.479897
   7.001034   20203.45   9.190396   0.00469995  -2.481032
   7.061034   20191.59   9.190470   0.00469955  -2.482127
   7.121034   20182.22   9.190543   0.00469915  -2.483007
   7.181034   20168.60   9.190618   0.00469875  -2.484254
   7.241034   20154.28   9.190693   0.00469834  -2.485563
   7.301034   20137.44   9.190768   0.00469794  -2.487090
   7.361034   20125.41   9.190842   0.00469754  -2.488202
   7.421034   20114.26   9.190915   0.00469714  -2.489238
   7.481034   20101.02   9.190989   0.00469674  -2.490455
   7.541034   20088.64   9.191062   0.00469635  -2.491598
   7.601034   20068.75   9.191137   0.00469594  -2.493395
   7.661034   20053.79   9.191211   0.00469554  -2.494764
   7.721034   20042.14   9.191284   0.00469515  -2.495846
   7.781034   20023.04   9.191358   0.00469474  -2.497577
   7.841034   20008.44   9.191431   0.00469435  -2.498918
   7.901034   19994.45   9.191504   0.00469396  -2.500205
   7.961034   19976.73   9.191578   0.00469356  -2.501819
   8.021034   19955.54   9.191654   0.00469315  -2.503739
   8.081034   19926.45   9.191732   0.00469272  -2.506352
   8.141034   19923.03   9.191803   0.00469234  -2.506720
   8.201034   19915.88   9.191875   0.00469195  -2.507416
   8.261034   19906.25   9.191948   0.00469156  -2.508329
